term,occurrences
said,48074
military,21960
va,12339
veterans,12195
service,11463
new,9838
time,9787
force,9469
air,9360
army,9171
year,8617
defense,8427
training,7672
navy,6939
according,6832
years,6744
just,6471
like,6359
officials,6222
marine,5879
make,5768
members,5734
people,5356
program,5267
department,5218
need,5193
told,5143
command,5116
care,5064
president,4883
war,4863
000,4841
troops,4804
day,4750
secretary,4701
going,4665
don,4580
help,4540
work,4511
aircraft,4505
health,4461
know,4453
forces,4442
support,4439
house,4397
family,4326
trump,4243
combat,4193
national,4154
corps,4089
report,3996
want,3879
way,3836
did,3822
including,3742
long,3728
states,3715
week,3662
think,3626
officer,3613
home,3550
base,3528
pentagon,3518
use,3472
operations,3451
soldiers,3436
benefits,3426
services,3405
life,3393
information,3375
state,3363
russia,3322
statement,3292
security,3243
gen,3232
right,3225
russian,3208
american,3186
10,3162
women,3154
news,3150
group,3097
month,3074
afghanistan,3068
ve,3059
government,3031
commander,3005
medical,3001
say,2981
good,2973
com,2966
marines,2835
country,2811
guard,2804
world,2795
mission,2782
duty,2768
veteran,2763
congress,2737
chief,2736
